,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
102,"Grand 16 Theatre, Louisiana","Lafayette, Louisiana",7/23/2015,Movie Theatre,Close,random,,3,9,11,0,,,,Yes,White American or European American,Male,30.21233538,-92.0316453
103,Suwanee,"Suwanee, Georgia",7/22/2015,Home,Close,Family,psycho,4,1,4,0,,,,Unknown,White American or European American,Male,34.05057545,-84.06872262
104,"Amnicola Training Center, Chattanooga","Chattanooga, Tennessee",7/16/2015,military facilities,Open,Marines,terrorism,5,3,7,0,,,,Yes,White American or European American,Male,35.09318123,-85.23676751
105,River Forest,"River Forest, Illinois",7/12/2015,river forest,Open,Family,domestic dispute,2,3,4,0,,,,Unknown,Unknown,Male,41.89499946,-87.81941392
106,Boom Boom Room,"Morven, North Carolina",6/20/2015,Club,Close,random,anger,0,4,4,0,,,,Unknown,Black American or African American/Unknown,Male,34.86379864,-79.9996781
107,Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,Church,Close,random,terrorism,9,1,10,0,21,,,unknown,White,Male,32.788387,-79.933143
108,Miami Gardens,"Miami Gardens, Florida",6/16/2015,birthday party,,party guests,,0,4,4,0,,,,Unknown,Black American or African American,Male,25.94326707,-80.24253243
109,Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,,,random,,3,1,4,0,27,,,Yes,Latino,M,,
110,Deer Lodge,"Deer Lodge, Montana",6/7/2015,,Close,Family,,5,0,4,0,,,,Unknown,White American or European American,Male,46.39761858,-112.7329333
111,Cleveland,"Cleveland, Ohio",5/31/2015,Home,Close,Ex-girlfriend,psycho,3,1,3,0,,,,Unknown,Unknown,Male,41.47657557,-81.68051502
112,Conyers,"Conyers, Georgia",5/31/2015,liquor store,Close,random,psycho,3,2,4,0,,,,Unknown,White American or European American,Male,33.66086267,-84.02688527
113,Club Maxey's,"Decatur, Illinois",5/25/2015,Club,Close,random,revenge,1,4,5,0,,,,Unknown,Black American or African American,Male,39.85566372,-88.93346458
114,Tucson,"Tucson, Arizona",5/12/2015,,,Family,psycho,5,0,4,0,,,,Yes,Unknown,Male,32.15358905,-110.9677647
115,Annual motorcycle event in Newark,"Newark, New Jersey",5/10/2015,opening of motorcycle season,Open,random,terrorism,1,3,4,0,,,,Unknown,Black American or African American,Male,40.73169648,-74.18417699
116,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,"Menasha, Wisconsin",5/3/2015,bridge,Open,random,,4,1,4,0,,,,Yes,Unknown,Male,44.20455909,-88.4484585
117,Milwaukee,"Milwaukee, Wisconsin",5/1/2015,street,Open,random,domestic dispute,2,3,5,0,,,,No,Unknown,Male,43.06420322,-87.96724385
118,Gates Pub,"Gates, New York",4/25/2015,Gates Pub,Close,random,terrorism,1,6,7,0,,,,Unknown,Black American or African American,Male,43.15693027,-77.69300856
119,Killeen,"Killeen, Texas",4/21/2015,Village West Apartments,Close,random,,2,3,5,0,,,,Unknown,Black American or African American,Male,31.07925506,-97.73392317
120,Phoenix,"Phoenix, Arizona",4/16/2015,,,Family,,5,0,4,0,,,,Unknown,Some other race,Male,33.57145875,-112.0904854
121,Rome,"Rome, Georgia",4/7/2015,street,Open,random,,1,3,4,0,,,,No,Black American or African American,Male,34.26779152,-85.18822422
122,Indianapolis,"Indianapolis, Indiana",4/5/2015,Home,Close,random,,0,5,5,0,,,,No,Unknown,Male,39.77725479,-86.14635359
123,Daytona Beach,"Daytona Beach, Florida",4/3/2015,Home,Close,random,,0,4,4,0,,,,No,Black American or African American,Male,29.19313443,-81.10173014
124,Tulsa,"Tulsa, Oklahoma",3/30/2015,Home,Close,Family,,4,0,3,0,,,,Unknown,Asian American,Male,36.13543238,-95.91316117
125,Panama City Beach,"Panama City Beach, Florida",3/28/2015,Home,Close,party guests,,0,7,7,0,,,,No,Black American or African American,Male,30.22540212,-85.87371301
126,Little Water,"Little Water, New Mexico",3/19/2015,,,Policeman,psycho,2,2,3,1,,,,Unknown,Unknown,Male,36.44329,-108.723281
127,Mesa,"Mesa, Arizona",3/18/2015,,Open,random,,1,5,6,0,,,,No,White American or European American,Male,33.42268696,-111.8163202
128,Cottonwood,"Cottonwood, Alabama",3/15/2015,Home,Close,Family,,3,1,3,0,,,,No,White American or European American,Male,31.0549687,-85.30100084
129,Brookhaven,"Brookhaven, Mississippi",3/13/2015,Home,Close,House Owner,,2,3,5,0,,,,Unknown,Black American or African American,Male,31.58036482,-90.44323475
130,Tarboro,"Tarboro, North Carolina",2/28/2015,Barber Shop,Open+Close,random,terrorism,4,0,3,0,,,,Yes,Black American or African American,Male,35.90434471,-77.55639964
131,Birmingham's Washington Park,"Birmingham, Alabama",2/27/2015,street,Open,Friends,psycho,1,2,3,0,,,,No,Black American or African American,Male,33.5282865,-86.79550448
132,Tyrone,"Tyrone, Missouri",2/26/2015,Home,Close,Family,psycho,8,1,8,0,,,,No,White American or European American,Male,37.204442,-91.876583
133,Charlotte,"Charlotte, North Carolina",2/24/2015,Home,Close,Contestant,,3,0,3,0,,,,No,Some other race,Male,35.226354,-80.836788
134,Clarkesville,"Clarkesville, Georgia",2/22/2015,Home,Close,Ex-Wife,,3,2,4,0,,,,No,White American or European American,Male,34.61025711,-83.52918091
135,Killeen,"Killeen, Texas",2/22/2015,,,random,,4,1,4,0,,1,Fort Hood,No,Black American or African American,Male,31.07925506,-97.73392317
136,Chapel Hill,"Chapel Hill, North Carolina",2/10/2015,Home,Close,neighbors,anger,3,0,3,0,,,,No,White American or European American,Male,35.92681467,-79.03850407
137,Moon Lake,"New Port Richey, Florida",2/9/2015,Home,Close,random,terrorism,3,1,4,0,,,,No,White American or European American/Some other Race,Male/Female,28.24653304,-82.71690259
138,Monroeville Macy's,"Monroeville, Pennsylvania",2/7/2015,Shopping Mall,Close,random,,0,3,3,0,,,,No,Black American or African American,Male,40.4257455,-79.76092565
139,Douglasville,"Douglasville, Georgia",2/7/2015,Home,Close,Family,psycho,5,2,6,0,,,,No,Black American or African American,Male,33.71059292,-84.71564276
140,"King, North Carolina","King, North Carolina",2/4/2015,,,random,psycho,4,0,3,0,,,,Unknown,White American or European American,Male,36.27617912,-80.35501402
141,McAvan's Pub,"Syracuse, New York",2/1/2015,Pub,Close,Ex-Girlfriend & Family,revenge,0,6,6,0,,,,No,Black American or African American,Male,43.04093416,-76.14376763
142,LaGrange,"LaGrange, Georgia",1/28/2015,Home,Close,Family,psycho,5,0,5,0,,,,No,White American or European American,Male,33.03607062,-85.0287065
143,Queens,"New York City, New York",1/24/2015,Home,Close,Family,psycho,4,1,4,0,,,,No,Black American or African American,Male,40.68996411,-73.8720502
144,Omaha,"Omaha, Nebraska",1/24/2015,Party Outside Home,Open,random,terrorism,3,5,8,0,,,,No,Black American or African American,Male,41.265922,-96.05381421
145,Moscow,"Moscow, Idaho",1/10/2015,Home+Restaurant,Close,random,psycho,3,1,4,0,,,,No,Asian American,Male,46.73059479,-116.9990042
146,Memphis,"Memphis, Tennessee",1/1/2015,,Open,party guests,anger,0,5,5,0,,,,No,Black American or African American,Male,35.10528976,-89.97734924
147,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",12/15/2014,Multiple Homes,Close,Ex-Wife & Family,psycho,7,1,7,0,,,,Yes,White American or European American,Male,40.39359306,-75.49640881
148,Morgantown,"Morgantown, West Virginia",12/1/2014,Multiple Homes,Close,Ex-Girlfriend+random,psycho,5,0,4,0,,,,No,White American or European American,Male,39.63400851,-79.94839325
149,Florida State University,"Tallahassee, Florida",11/19/2014,Florida State University,Open,random,terrorism,1,3,3,0,,,,Yes,Black American or African American,Male,30.4549394,-84.25264151
150,Marysville-Pilchuck High School,"Marysville, Washington",10/24/2014,School Cafeteria,Close,students,anger,5,1,5,0,,,,No,Native American or Alaska Native,Male,48.04802409,-122.1359622
151,Albuquerque Auto Shop,"Albuquerque, New Mexico",8/8/2014,Outside an auto shop,Open,Ex-Girlfriend,anger,2,3,4,0,,,,No,Some other race,Male,35.15290522,-106.7791378
152,Bourbon Street New Orleans,"New Orleans, Louisiana",6/29/2014,street,Open,random,anger,1,9,10,0,,,,No,Two or more races,Male,30.0687242,-89.93147412
153,Nellis Plaza,"Las Vegas, Nevada",6/8/2014,Café+Walmart,Close,Policeman,psycho,5,0,3,2,,,,No,White American or European American,Male/Female,36.18931923,-115.3264875
154,Seattle Pacific University,"Seattle, Washington",6/5/2014,Seattle Pacific University,Close,Students,terrorism,1,2,3,0,,,,Yes,Some other race,Male,47.62199575,-122.323646
155,Isla Vista mass murder,"Santa Barbara, California",5/23/2014,,Open+Close,random,psycho,6,13,19,0,22,,,Yes,White,M,,
156,Kennesaw FedEx,"Kennesaw, Georgia",4/29/2014,Workplace,Close,Coworkers,terrorism,1,6,6,0,19,1,FedEx,No,White American or European American,Male,34.02529674,-84.61766831
