"Year","Year Code","Five-Year Age Groups","Five-Year Age Groups Code","Gender","Gender Code","Deaths","Population","Crude Rate"
"2005","2005","5-9 years","5-9","Female","F",0,9473900,0
"2005","2005","5-9 years","5-9","Male","M",0,9915167,0
"2005","2005","10-14 years","10-14","Female","F",12,10348382,0
"2005","2005","10-14 years","10-14","Male","M",72,10864197,0.7
"2005","2005","15-19 years","15-19","Female","F",80,10434789,0.8
"2005","2005","15-19 years","15-19","Male","M",658,11051425,6
"2005","2005","20-24 years","20-24","Female","F",111,10222806,1.1
"2005","2005","20-24 years","20-24","Male","M",1113,10737149,10.4
"2005","2005","25-29 years","25-29","Female","F",127,9712544,1.3
"2005","2005","25-29 years","25-29","Male","M",998,9822166,10.2
"2005","2005","30-34 years","30-34","Female","F",161,9835154,1.6
"2005","2005","30-34 years","30-34","Male","M",983,9888783,9.9
"2005","2005","35-39 years","35-39","Female","F",177,10411620,1.7
"2005","2005","35-39 years","35-39","Male","M",1069,10387033,10.3
"2005","2005","40-44 years","40-44","Female","F",262,11453723,2.3
"2005","2005","40-44 years","40-44","Male","M",1347,11253162,12
"2005","2005","45-49 years","45-49","Female","F",284,11357088,2.5
"2005","2005","45-49 years","45-49","Male","M",1520,11060083,13.7
"2005","2005","50-54 years","50-54","Female","F",243,10257441,2.4
"2005","2005","50-54 years","50-54","Male","M",1425,9821292,14.5
"2005","2005","55-59 years","55-59","Female","F",206,9007859,2.3
"2005","2005","55-59 years","55-59","Male","M",1192,8495361,14
"2005","2005","60-64 years ","60-64","Female","F",124,6860551,1.8
"2005","2005","60-64 years ","60-64","Male","M",948,6277726,15.1
"2005","2005","65-69 years","65-69","Female","F",94,5469500,1.7
"2005","2005","65-69 years","65-69","Male","M",733,4809127,15.2
"2005","2005","70-74 years","70-74","Female","F",74,4729069,1.6
"2005","2005","70-74 years","70-74","Male","M",768,3874001,19.8
"2005","2005","75-79 years","75-79","Female","F",56,4299256,1.3
"2005","2005","75-79 years","75-79","Male","M",828,3164353,26.2
"2005","2005","80-84 years","80-84","Female","F",45,3454579,1.3
"2005","2005","80-84 years","80-84","Male","M",720,2156614,33.4
"2005","2005","85-89 years","85-89","Female","F",22,0,0
"2005","2005","85-89 years","85-89","Male","M",382,0,0
"2005","2005","90-94 years","90-94","Female","F",7,0,0
"2005","2005","90-94 years","90-94","Male","M",135,0,0
"2005","2005","95-99 years","95-99","Female","F",0,0,0
"2005","2005","95-99 years","95-99","Male","M",24,0,0
"2005","2005","100+ years","100+","Female","F",0,0,0
"2005","2005","100+ years","100+","Male","M",1,0,0
"2005","2005","Not Stated","NS","Female","F",1,0,0
"2005","2005","Not Stated","NS","Male","M",0,0,0
"2006","2006","< 1 year","1","Female","F",0,1975919,0
"2006","2006","< 1 year","1","Male","M",0,2065819,0
"2006","2006","1-4 years","1-4","Female","F",0,7775092,0
